"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_ID","stimulus","phase","set_duration","target_interval","reproduced_interval","reproduction_error"
"null","null","html-keyboard-response","1567","1216512","0.0-1567.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 260 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1568","1217015","0.0-1568.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1569","1217318","0.0-1569.0","","","isi","","","",""
"null","null","html-keyboard-response","1570","1217820","0.0-1570.0","","<div class=""circle set""></div>","set","500","","",""
"400"," ","html-keyboard-response","1571","1218221","0.0-1571.0","","","go","","300","400","100"
"null","null","html-keyboard-response","1572","1218722","0.0-1572.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1573","1219725","0.0-1573.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 261 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1574","1220227","0.0-1574.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1575","1220529","0.0-1575.0","","","isi","","","",""
"null","null","html-keyboard-response","1576","1221031","0.0-1576.0","","<div class=""circle set""></div>","set","500","","",""
"386"," ","html-keyboard-response","1577","1221418","0.0-1577.0","","","go","","300","386","86"
"null","null","html-keyboard-response","1578","1221919","0.0-1578.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1579","1222922","0.0-1579.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 262 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1580","1223425","0.0-1580.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1581","1223728","0.0-1581.0","","","isi","","","",""
"null","null","html-keyboard-response","1582","1224230","0.0-1582.0","","<div class=""circle set""></div>","set","500","","",""
"332"," ","html-keyboard-response","1583","1224562","0.0-1583.0","","","go","","300","332","32"
"null","null","html-keyboard-response","1584","1225064","0.0-1584.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1585","1226067","0.0-1585.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 263 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1586","1226570","0.0-1586.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1587","1226872","0.0-1587.0","","","isi","","","",""
"null","null","html-keyboard-response","1588","1227375","0.0-1588.0","","<div class=""circle set""></div>","set","500","","",""
"395"," ","html-keyboard-response","1589","1227771","0.0-1589.0","","","go","","300","395","95"
"null","null","html-keyboard-response","1590","1228272","0.0-1590.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1591","1229276","0.0-1591.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 264 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1592","1229778","0.0-1592.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1593","1230381","0.0-1593.0","","","isi","","","",""
"null","null","html-keyboard-response","1594","1230883","0.0-1594.0","","<div class=""circle set""></div>","set","500","","",""
"734"," ","html-keyboard-response","1595","1231617","0.0-1595.0","","","go","","600","734","134"
"null","null","html-keyboard-response","1596","1232119","0.0-1596.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1597","1233121","0.0-1597.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 265 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1598","1233624","0.0-1598.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1599","1233926","0.0-1599.0","","","isi","","","",""
"null","null","html-keyboard-response","1600","1234429","0.0-1600.0","","<div class=""circle set""></div>","set","500","","",""
"393"," ","html-keyboard-response","1601","1234823","0.0-1601.0","","","go","","300","393","93"
"null","null","html-keyboard-response","1602","1235324","0.0-1602.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1603","1236327","0.0-1603.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 266 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1604","1236829","0.0-1604.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1605","1237232","0.0-1605.0","","","isi","","","",""
"null","null","html-keyboard-response","1606","1237735","0.0-1606.0","","<div class=""circle set""></div>","set","500","","",""
"403"," ","html-keyboard-response","1607","1238139","0.0-1607.0","","","go","","400","403","3"
"null","null","html-keyboard-response","1608","1238640","0.0-1608.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1609","1239644","0.0-1609.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 267 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1610","1240146","0.0-1610.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1611","1240649","0.0-1611.0","","","isi","","","",""
"null","null","html-keyboard-response","1612","1241151","0.0-1612.0","","<div class=""circle set""></div>","set","500","","",""
"702"," ","html-keyboard-response","1613","1241854","0.0-1613.0","","","go","","500","702","202"
"null","null","html-keyboard-response","1614","1242355","0.0-1614.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1615","1243357","0.0-1615.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 268 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1616","1243860","0.0-1616.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1617","1244562","0.0-1617.0","","","isi","","","",""
"null","null","html-keyboard-response","1618","1245065","0.0-1618.0","","<div class=""circle set""></div>","set","500","","",""
"661"," ","html-keyboard-response","1619","1245727","0.0-1619.0","","","go","","700","661","-39"
"null","null","html-keyboard-response","1620","1246228","0.0-1620.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1621","1247232","0.0-1621.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 269 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1622","1247735","0.0-1622.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1623","1248437","0.0-1623.0","","","isi","","","",""
"null","null","html-keyboard-response","1624","1248939","0.0-1624.0","","<div class=""circle set""></div>","set","500","","",""
"589"," ","html-keyboard-response","1625","1249529","0.0-1625.0","","","go","","700","589","-111"
"null","null","html-keyboard-response","1626","1250031","0.0-1626.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1627","1251034","0.0-1627.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 270 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1628","1251536","0.0-1628.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1629","1251738","0.0-1629.0","","","isi","","","",""
